Ranking,Name,Position,Team,Salary
1,"Stephen Curry,",PG,Golden State Warriors,51915615
2,"Kevin Durant,",PF,Phoenix Suns,47649433
3,"LeBron James,",SF,Los Angeles Lakers,47607350
4,"Nikola Jokic,",C,Denver Nuggets,47607350
5,"Joel Embiid,",C,Philadelphia 76ers,46900000
6,"Bradley Beal,",SG,Phoenix Suns,46741590
7,"Giannis Antetokounmpo,",PF,Milwaukee Bucks,45640084
8,"Damian Lillard,",PG,Milwaukee Bucks,45640084
9,"Kawhi Leonard,",SF,LA Clippers,45640084
10,"Paul George,",F,LA Clippers,45640084
11,"Jimmy Butler,",SF,Miami Heat,45183960
12,"Klay Thompson,",SG,Golden State Warriors,43219440
13,"Rudy Gobert,",C,Minnesota Timberwolves,41000000
14,"Fred VanVleet,",PG,Houston Rockets,40806300
15,"Anthony Davis,",PF,Los Angeles Lakers,40600080
16,"Luka Doncic,",PG,Dallas Mavericks,40064220
17,"Zach LaVine,",SG,Chicago Bulls,40064220
18,"Trae Young,",PG,Atlanta Hawks,40064220
19,"Tobias Harris,",PF,Philadelphia 76ers,39270150
20,"Ben Simmons,",PG,Brooklyn Nets,37893408
21,"Pascal Siakam,",PF,Indiana Pacers,37893408
22,"Kyrie Irving,",PG,Dallas Mavericks,37037037
23,"Jrue Holiday,",PG,Boston Celtics,36861707
24,"Devin Booker,",SG,Phoenix Suns,36016200
25,"Karl-Anthony Towns,",C,Minnesota Timberwolves,36016200
26,"Kristaps Porzingis,",C,Boston Celtics,36016200
27,"CJ McCollum,",SG,New Orleans Pelicans,35802469
28,"James Harden,",SG,LA Clippers,35640000
29,"Ja Morant,",PG,Memphis Grizzlies,34005250
30,"Darius Garland,",PG,Cleveland Cavaliers,34005250
31,"Zion Williamson,",PF,New Orleans Pelicans,34005250
32,"Jamal Murray,",PG,Denver Nuggets,33833400
33,"Brandon Ingram,",SF,New Orleans Pelicans,33833400
34,"Shai Gilgeous-Alexander,",PG,Oklahoma City Thunder,33386850
35,"Michael Porter Jr.,",SF,Denver Nuggets,33386850
36,"Donovan Mitchell,",SG,Cleveland Cavaliers,33162030
37,"De'Aaron Fox,",PG,Sacramento Kings,32600060
38,"Bam Adebayo,",C,Miami Heat,32600060
39,"Jayson Tatum,",SF,Boston Celtics,32600060
40,"Deandre Ayton,",C,Portland Trail Blazers,32459438
41,"Jaylen Brown,",SG,Boston Celtics,31830357
42,"Gordon Hayward,",SF,Oklahoma City Thunder,31500000
43,"Chris Paul,",PG,Golden State Warriors,30800000
44,"Domantas Sabonis,",PF,Sacramento Kings,30600000
45,"Khris Middleton,",SF,Milwaukee Bucks,29320988
46,"DeMar DeRozan,",SF,Chicago Bulls,28600000
47,"Julius Randle,",PF,New York Knicks,28226880
48,"Jordan Poole,",SG,Washington Wizards,27955357
49,"Jerami Grant,",SF,Portland Trail Blazers,27586207
50,"Jaren Jackson Jr.,",PF,Memphis Grizzlies,27102202
51,"Tyler Herro,",PG,Miami Heat,27000000
52,"Jalen Brunson,",PG,New York Knicks,26346666
53,"Cameron Johnson,",SF,Brooklyn Nets,25679348
54,"Kyle Kuzma,",SF,Washington Wizards,25568182
55,"John Collins,",PF,Utah Jazz,25340000
56,"Brook Lopez,",C,Milwaukee Bucks,25000000
57,"Mike Conley,",PG,Minnesota Timberwolves,24360000
58,"Andrew Wiggins,",SF,Golden State Warriors,24330357
59,"Anfernee Simons,",SG,Portland Trail Blazers,24107143
60,"RJ Barrett,",SG,Toronto Raptors,23883929
61,"Jordan Clarkson,",PG,Utah Jazz,23487629
62,"Dillon Brooks,",SF,Houston Rockets,22627671
63,"Malcolm Brogdon,",PG,Portland Trail Blazers,22500000
64,"Draymond Green,",PF,Golden State Warriors,22321429
65,"Aaron Gordon,",PF,Denver Nuggets,22266182
66,"Terry Rozier,",SG,Miami Heat,22205221
67,"Bruce Brown,",SF,Toronto Raptors,22000000
68,"Mikal Bridges,",SF,Brooklyn Nets,21700000
69,"Myles Turner,",C,Indiana Pacers,20975000
70,"Clint Capela,",C,Atlanta Hawks,20616000
71,"Lonzo Ball,",PG,Chicago Bulls,20465117
72,"De'Andre Hunter,",SF,Atlanta Hawks,20089286
73,"Keldon Johnson,",SF,San Antonio Spurs,20000000
74,"Bojan Bogdanovic,",SF,New York Knicks,20000000
75,"Jarrett Allen,",C,Cleveland Cavaliers,20000000
76,"Joe Harris,",SF,Detroit Pistons,19928571
77,"Jakob Poeltl,",C,Toronto Raptors,19500000
78,"Buddy Hield,",SG,Philadelphia 76ers,19279841
79,"Evan Fournier,",SG,Detroit Pistons,18857143
80,"Marcus Smart,",PG,Memphis Grizzlies,18833712
81,"Bogdan Bogdanovic,",SG,Atlanta Hawks,18700000
82,"OG Anunoby,",SF,New York Knicks,18642857
83,"Gary Trent Jr.,",SG,Toronto Raptors,18560000
84,"Nikola Vucevic,",C,Chicago Bulls,18518519
85,"Derrick White,",PG,Boston Celtics,18357143
86,"Dejounte Murray,",SG,Atlanta Hawks,18214000
87,"Duncan Robinson,",F,Miami Heat,18154000
88,"Norman Powell,",G,LA Clippers,18000000
89,"Tim Hardaway Jr.,",SF,Dallas Mavericks,17897728
90,"Jonathan Isaac,",PF,Orlando Magic,17400000
91,"Collin Sexton,",PG,Utah Jazz,17325000
92,"D'Angelo Russell,",PG,Los Angeles Lakers,17307693
93,"Lauri Markkanen,",PF,Utah Jazz,17259999
94,"Marcus Morris Sr.,",SF,Cleveland Cavaliers,17116279
95,"Davis Bertans,",SF,Charlotte Hornets,17000000
96,"Harrison Barnes,",SF,Sacramento Kings,17000000
97,"Markelle Fultz,",PG,Orlando Magic,17000000
98,"Jusuf Nurkic,",C,Phoenix Suns,16875000
99,"P.J. Washington,",PF,Dallas Mavericks,16847826
100,"Kevin Porter Jr.,",G,Oklahoma City Thunder,15860000
101,"Rui Hachimura,",PF,Los Angeles Lakers,15740741
102,"Mitchell Robinson,",C,New York Knicks,15681818
103,"Kevin Huerter,",SG,Sacramento Kings,15669643
104,"Jonas Valanciunas,",C,New Orleans Pelicans,15435000
105,"Luke Kennard,",SG,Memphis Grizzlies,15418363
106,"Caris LeVert,",SG,Cleveland Cavaliers,15384616
107,"Luguentz Dort,",G,Oklahoma City Thunder,15277778
108,"Kentavious Caldwell-Pope,",SG,Denver Nuggets,14704938
109,"Max Strus,",SG,Cleveland Cavaliers,14487684
110,"Tyus Jones,",PG,Washington Wizards,14000000
111,"Dorian Finney-Smith,",PF,Brooklyn Nets,13932008
112,"Doug McDermott,",SF,Indiana Pacers,13750000
113,"Wendell Carter Jr.,",C,Orlando Magic,13050000
114,"Gary Harris,",SG,Orlando Magic,13000000
115,"Josh Hart,",SG,New York Knicks,12960000
116,"Naz Reid,",C,Minnesota Timberwolves,12950400
117,"Steven Adams,",C,Houston Rockets,12600000
118,"Brandon Clarke,",PF,Memphis Grizzlies,12500000
119,"Marvin Bagley III,",PF,Washington Wizards,12500000
120,"Dennis Schroder,",PG,Brooklyn Nets,12405000
121,"Daniel Gafford,",C,Dallas Mavericks,12402000
122,"Grant Williams,",PF,Charlotte Hornets,12325581
123,"Kelly Olynyk,",PF,Toronto Raptors,12195122
124,"Victor Wembanyama,",C,San Antonio Spurs,12160680
125,"James Wiseman,",C,Detroit Pistons,12119400
126,"Devonte' Graham,",PG,San Antonio Spurs,12100000
127,"Richaun Holmes,",F,Washington Wizards,12046020
128,"Austin Reaves,",SG,Los Angeles Lakers,12015150
129,"Herbert Jones,",SF,New Orleans Pelicans,12015150
130,"Chris Boucher,",PF,Toronto Raptors,11750000
131,"Nicolas Batum,",PF,Philadelphia 76ers,11710818
132,"Bobby Portis,",F,Milwaukee Bucks,11710818
133,"Robert Covington,",PF,Philadelphia 76ers,11692308
134,"Paolo Banchero,",PF,Orlando Magic,11608080
135,"Robert Williams III,",C,Portland Trail Blazers,11571429
136,"Coby White,",PG,Chicago Bulls,11111111
137,"Cade Cunningham,",PG,Detroit Pistons,11055240
138,"Talen Horton-Tucker,",SG,Utah Jazz,11020000
139,"P.J. Tucker,",PF,LA Clippers,11014500
140,"Joe Ingles,",SG,Orlando Magic,11000000
141,"Maxi Kleber,",PF,Dallas Mavericks,11000000
142,"Donte DiVincenzo,",SG,New York Knicks,10960000
143,"Ivica Zubac,",C,LA Clippers,10933333
144,"LaMelo Ball,",PG,Charlotte Hornets,10900635
145,"Brandon Miller,",F,Charlotte Hornets,10880400
146,"Terance Mann,",SG,LA Clippers,10576923
147,"Matisse Thybulle,",SG,Portland Trail Blazers,10500000
148,"Gabe Vincent,",PG,Los Angeles Lakers,10500000
149,"Alec Burks,",SG,New York Knicks,10489600
150,"Chet Holmgren,",PF,Oklahoma City Thunder,10386000
151,"Larry Nance Jr.,",PF,New Orleans Pelicans,10375000
152,"Landry Shamet,",SG,Washington Wizards,10250000
153,"Al Horford,",C,Boston Celtics,10000000
154,"Malik Monk,",SG,Sacramento Kings,9945830
155,"Tre Jones,",PG,San Antonio Spurs,9895833
156,"Jalen Green,",SG,Houston Rockets,9891480
157,"Patrick Williams,",PF,Chicago Bulls,9835881
158,"Monte Morris,",PG,Minnesota Timberwolves,9800926
159,"Scoot Henderson,",G,Portland Trail Blazers,9770880
160,"Nic Claxton,",C,Brooklyn Nets,9625000
161,"Jeff Green,",PF,Houston Rockets,9600000
162,"Royce O'Neale,",PF,Phoenix Suns,9500000
163,"Alex Caruso,",SG,Chicago Bulls,9460000
164,"Victor Oladipo,",SG,Memphis Grizzlies,9450000
165,"Pat Connaughton,",SG,Milwaukee Bucks,9423869
166,"Jabari Smith Jr.,",PF,Houston Rockets,9326520
167,"Isaiah Hartenstein,",C,New York Knicks,9245121
168,"Anthony Edwards,",SG,Minnesota Timberwolves,9219512
169,"Kyle Anderson,",SF,Minnesota Timberwolves,9219512
170,"Grayson Allen,",SG,Phoenix Suns,8925000
171,"Isaac Okoro,",SF,Cleveland Cavaliers,8920795
172,"Evan Mobley,",PF,Cleveland Cavaliers,8882760
173,"Amen Thompson,",F,Houston Rockets,8809320
174,"Georges Niang,",SF,Cleveland Cavaliers,8800000
175,"Gary Payton II,",SG,Golden State Warriors,8715000
176,"T.J. McConnell,",PG,Indiana Pacers,8700000
177,"Keegan Murray,",SF,Sacramento Kings,8409000
178,"Onyeka Okongwu,",PF,Atlanta Hawks,8109063
179,"Scottie Barnes,",SF,Toronto Raptors,8008560
180,"Trey Lyles,",PF,Sacramento Kings,8000000
181,"De'Anthony Melton,",SG,Philadelphia 76ers,8000000
182,"Moritz Wagner,",C,Orlando Magic,8000000
183,"Jock Landale,",C,Houston Rockets,8000000
184,"Ausar Thompson,",F,Detroit Pistons,7977480
185,"Miles Bridges,",SF,Charlotte Hornets,7921301
186,"Vasilije Micic,",G,Charlotte Hornets,7723000
187,"Paul Reed,",SF,Philadelphia 76ers,7723000
188,"Zach Collins,",PF,San Antonio Spurs,7700000
189,"Jaden Ivey,",PG,Detroit Pistons,7641480
190,"Cody Martin,",SF,Charlotte Hornets,7560000
191,"Kevon Looney,",F,Golden State Warriors,7500000
192,"Taurean Prince,",PF,Los Angeles Lakers,7455000
193,"Killian Hayes,",PG,Detroit Pistons,7413955
194,"Jalen Suggs,",SG,Orlando Magic,7252080
195,"Anthony Black,",G,Orlando Magic,7245480
196,"Khem Birch,",C,San Antonio Spurs,6985000
197,"Bennedict Mathurin,",SG,Indiana Pacers,6916080
198,"Obi Toppin,",PF,Indiana Pacers,6803012
199,"Caleb Martin,",SF,Miami Heat,6802950
200,"Cedi Osman,",SF,San Antonio Spurs,6718842
201,"Bilal Coulibaly,",SG,Washington Wizards,6614280
202,"Josh Giddey,",SG,Oklahoma City Thunder,6587040
203,"Cameron Payne,",PG,Philadelphia 76ers,6500000
204,"Jae'Sean Tate,",SF,Houston Rockets,6500000
205,"Ayo Dosunmu,",SG,Chicago Bulls,6481481
206,"Rudy Gay,",SF,Golden State Warriors,6479000
207,"Sasha Vezenkov,",F,Sacramento Kings,6341464
208,"Shaedon Sharpe,",SG,Portland Trail Blazers,6313800
209,"Otto Porter Jr.,",SF,Toronto Raptors,6300000
210,"Deni Avdija,",SF,Washington Wizards,6263188
211,"Nassir Little,",SF,Phoenix Suns,6250000
212,"Jevon Carter,",PG,Chicago Bulls,6190476
213,"Kenrich Williams,",SF,Oklahoma City Thunder,6175000
214,"Ricky Rubio,",PG,Cleveland Cavaliers,6146342
215,"Jarace Walker,",F,Indiana Pacers,6059520
216,"Jonathan Kuminga,",PF,Golden State Warriors,6012840
217,"Devin Vassell,",SG,San Antonio Spurs,5887899
218,"Tyrese Haliburton,",PG,Indiana Pacers,5808435
219,"Dyson Daniels,",G,New Orleans Pelicans,5784120
220,"Kira Lewis Jr.,",PG,Utah Jazz,5722116
221,"Dean Wade,",PF,Cleveland Cavaliers,5709877
222,"Aaron Nesmith,",SF,Indiana Pacers,5634257
223,"Jalen Smith,",PF,Indiana Pacers,5604192
224,"Taylor Hendricks,",F,Utah Jazz,5569920
225,"Cole Anthony,",PG,Orlando Magic,5539771
226,"Franz Wagner,",SF,Orlando Magic,5508720
227,"Garrett Temple,",SF,Toronto Raptors,5401000
